test_id,success,is_verified,false_acceptance,planning_time_ms,verification_latency_ms,planner_latency_ms,expanded_search_nodes,graph_reachable,lifecycle_recovered,telemetry_attributed,plan_depth,graph_depth,candidate_count
logic_01_run_0,True,True,False,66.9746000203304,26.78984000813216,33.4873000101652,1,True,True,True,1,1,1
logic_02_contradiction_run_0,True,False,False,27.345700014848262,10.938280005939305,13.672850007424131,0,False,,True,1,1,1
logic_01_run_1,True,True,False,32.32739999657497,12.930959998629987,16.163699998287484,1,True,True,True,1,1,1
logic_02_contradiction_run_1,True,False,False,27.760500030126423,11.104200012050569,13.880250015063211,0,False,,True,1,1,1
logic_01_run_2,True,True,False,30.424099997617304,12.169639999046922,15.212049998808652,1,True,True,True,1,1,1
logic_02_contradiction_run_2,True,False,False,27.041300025302917,10.816520010121167,13.520650012651458,0,False,,True,1,1,1
logic_01_run_3,True,True,False,31.695300014689565,12.678120005875826,15.847650007344782,1,True,True,True,1,1,1
logic_02_contradiction_run_3,True,False,False,24.92349996464327,9.969399985857308,12.461749982321635,0,False,,True,1,1,1
logic_01_run_4,True,True,False,30.42319999076426,12.169279996305704,15.21159999538213,1,True,True,True,1,1,1
logic_02_contradiction_run_4,True,False,False,27.55929995328188,11.023719981312752,13.77964997664094,0,False,,True,1,1,1
logic_01_run_5,True,True,False,34.29280000273138,13.717120001092553,17.14640000136569,1,True,True,True,1,1,1
logic_02_contradiction_run_5,True,False,False,25.9129999903962,10.36519999615848,12.9564999951981,0,False,,True,1,1,1
logic_01_run_6,True,True,False,26.623899990227073,10.64955999609083,13.311949995113537,1,True,True,True,1,1,1
logic_02_contradiction_run_6,True,False,False,26.26610000152141,10.506440000608563,13.133050000760704,0,False,,True,1,1,1
logic_01_run_7,True,True,False,29.917699983343482,11.967079993337393,14.958849991671741,1,True,True,True,1,1,1
logic_02_contradiction_run_7,True,False,False,28.663399978540838,11.465359991416335,14.331699989270419,0,False,,True,1,1,1
logic_01_run_8,True,True,False,33.20099995471537,13.280399981886148,16.600499977357686,1,True,True,True,1,1,1
logic_02_contradiction_run_8,True,False,False,28.327899985015392,11.331159994006157,14.163949992507696,0,False,,True,1,1,1
logic_01_run_9,True,True,False,32.973700028378516,13.189480011351407,16.486850014189258,1,True,True,True,1,1,1
logic_02_contradiction_run_9,True,False,False,24.973399995360523,9.98935999814421,12.486699997680262,0,False,,True,1,1,1
logic_01_run_10,True,True,False,28.42029999010265,11.36811999604106,14.210149995051324,1,True,True,True,1,1,1
