test_id,success,is_verified,false_acceptance,planning_time_ms,verification_latency_ms,planner_latency_ms,expanded_search_nodes,graph_reachable,lifecycle_recovered,telemetry_attributed,plan_depth,graph_depth,candidate_count
graph_01_context_high_run_0,True,True,False,36.27290000440553,14.509160001762211,18.136450002202764,1,True,True,True,1,1,1
graph_02_context_low_run_0,False,False,False,39.55109999515116,15.820439998060465,19.77554999757558,0,False,,True,1,1,1
graph_01_context_high_run_1,True,True,False,39.35469995485619,15.741879981942475,19.677349977428094,1,True,True,True,1,1,1
graph_02_context_low_run_1,False,False,False,37.846699997317046,15.138679998926818,18.923349998658523,0,False,,True,1,1,1
graph_01_context_high_run_2,True,True,False,26.88510000007227,10.754040000028908,13.442550000036135,1,True,True,True,1,1,1
graph_02_context_low_run_2,False,False,False,29.653400008101016,11.861360003240407,14.826700004050508,0,False,,True,1,1,1
graph_01_context_high_run_3,True,True,False,28.25860003940761,11.303440015763044,14.129300019703805,1,True,True,True,1,1,1
graph_02_context_low_run_3,False,False,False,29.468499997165054,11.787399998866022,14.734249998582527,0,False,,True,1,1,1
graph_01_context_high_run_4,True,True,False,27.24700001999736,10.898800007998943,13.62350000999868,1,True,True,True,1,1,1
graph_02_context_low_run_4,False,False,False,27.988599962554872,11.195439985021949,13.994299981277436,0,False,,True,1,1,1
graph_01_context_high_run_5,True,True,False,27.678699989337474,11.07147999573499,13.839349994668737,1,True,True,True,1,1,1
graph_02_context_low_run_5,False,False,False,29.89740000339225,11.9589600013569,14.948700001696125,0,False,,True,1,1,1
graph_01_context_high_run_6,True,True,False,25.131900038104504,10.052760015241802,12.565950019052252,1,True,True,True,1,1,1
graph_02_context_low_run_6,False,False,False,30.19510000012815,12.07804000005126,15.097550000064075,0,False,,True,1,1,1
graph_01_context_high_run_7,True,True,False,26.884699997026473,10.75387999881059,13.442349998513237,1,True,True,True,1,1,1
graph_02_context_low_run_7,False,False,False,28.78149994648993,11.512599978595972,14.390749973244965,0,False,,True,1,1,1
graph_01_context_high_run_8,True,True,False,25.130100024398416,10.052040009759367,12.565050012199208,1,True,True,True,1,1,1
graph_02_context_low_run_8,False,False,False,29.420999984722584,11.768399993889034,14.710499992361292,0,False,,True,1,1,1
graph_01_context_high_run_9,True,True,False,30.78599995933473,12.314399983733892,15.392999979667366,1,True,True,True,1,1,1
graph_02_context_low_run_9,False,False,False,33.10049994615838,13.240199978463352,16.55024997307919,0,False,,True,1,1,1
graph_01_context_high_run_10,True,True,False,31.7582999705337,12.70331998821348,15.87914998526685,1,True,True,True,1,1,1
graph_02_context_low_run_10,False,False,False,30.68419999908656,12.273679999634624,15.34209999954328,0,False,,True,1,1,1
graph_01_context_high_run_11,True,True,False,30.633000016678125,12.25320000667125,15.316500008339062,1,True,True,True,1,1,1
graph_02_context_low_run_11,False,False,False,32.58360002655536,13.033440010622144,16.29180001327768,0,False,,True,1,1,1
graph_01_context_high_run_12,True,True,False,29.615400009788573,11.84616000391543,14.807700004894286,1,True,True,True,1,1,1
graph_02_context_low_run_12,False,False,False,31.187000044155866,12.474800017662346,15.593500022077933,0,False,,True,1,1,1
graph_01_context_high_run_13,True,True,False,27.89260004647076,11.157040018588305,13.94630002323538,1,True,True,True,1,1,1
graph_02_context_low_run_13,False,False,False,31.1076000216417,12.44304000865668,15.55380001082085,0,False,,True,1,1,1
graph_01_context_high_run_14,True,True,False,29.542100033722818,11.816840013489127,14.771050016861409,1,True,True,True,1,1,1
graph_02_context_low_run_14,False,False,False,31.080299988389015,12.432119995355606,15.540149994194508,0,False,,True,1,1,1
graph_01_context_high_run_15,True,True,False,31.688899965956807,12.675559986382723,15.844449982978404,1,True,True,True,1,1,1
graph_02_context_low_run_15,False,False,False,34.7065000096336,13.88260000385344,17.3532500048168,0,False,,True,1,1,1
graph_01_context_high_run_16,True,True,False,32.92020002845675,13.168080011382699,16.460100014228374,1,True,True,True,1,1,1
graph_02_context_low_run_16,False,False,False,33.06460002204403,13.225840008817613,16.532300011022016,0,False,,True,1,1,1
graph_01_context_high_run_17,True,True,False,25.773299974389374,10.30931998975575,12.886649987194687,1,True,True,True,1,1,1
graph_02_context_low_run_17,False,False,False,29.47790001053363,11.791160004213452,14.738950005266815,0,False,,True,1,1,1
graph_01_context_high_run_18,True,True,False,26.309300039429218,10.523720015771687,13.154650019714609,1,True,True,True,1,1,1
graph_02_context_low_run_18,False,False,False,13.973599998280406,0.0,13.973599998280406,0,False,False,False,0,0,0
graph_01_context_high_run_19,True,True,False,26.48820000467822,10.595280001871288,13.24410000233911,1,True,True,True,1,1,1
graph_02_context_low_run_19,False,False,False,14.055499981623143,0.0,14.055499981623143,0,False,False,False,0,0,0
graph_01_context_high_run_20,True,True,False,26.26879996387288,10.507519985549152,13.13439998193644,1,True,True,True,1,1,1
graph_02_context_low_run_20,False,False,False,10.560500028077513,0.0,10.560500028077513,0,False,False,False,0,0,0
graph_01_context_high_run_21,True,True,False,19.931299961172044,7.972519984468818,9.965649980586022,1,True,True,True,1,1,1
graph_02_context_low_run_21,False,False,False,14.868800004478544,0.0,14.868800004478544,0,False,False,False,0,0,0
graph_01_context_high_run_22,True,True,False,23.440900025889277,9.376360010355711,11.720450012944639,1,True,True,True,1,1,1
graph_02_context_low_run_22,False,False,False,12.699000013526529,0.0,12.699000013526529,0,False,False,False,0,0,0
graph_01_context_high_run_23,True,True,False,26.0808999883011,10.43235999532044,13.04044999415055,1,True,True,True,1,1,1
graph_02_context_low_run_23,False,False,False,14.772299968171865,0.0,14.772299968171865,0,False,False,False,0,0,0
graph_01_context_high_run_24,True,True,False,25.865200033877045,10.346080013550818,12.932600016938522,1,True,True,True,1,1,1
graph_02_context_low_run_24,False,False,False,13.263900007586926,0.0,13.263900007586926,0,False,False,False,0,0,0
graph_01_context_high_run_25,True,True,False,26.96970000397414,10.787880001589656,13.48485000198707,1,True,True,True,1,1,1
graph_02_context_low_run_25,False,False,False,14.491899986751378,0.0,14.491899986751378,0,False,False,False,0,0,0
graph_01_context_high_run_26,True,True,False,24.590799992438406,9.836319996975362,12.295399996219203,1,True,True,True,1,1,1
graph_02_context_low_run_26,False,False,False,10.370500036515296,0.0,10.370500036515296,0,False,False,False,0,0,0
graph_01_context_high_run_27,True,True,False,18.843700003344566,7.537480001337826,9.421850001672283,1,True,True,True,1,1,1
graph_02_context_low_run_27,False,False,False,10.031999961938709,0.0,10.031999961938709,0,False,False,False,0,0,0
graph_01_context_high_run_28,True,True,False,21.408099972177297,8.563239988870919,10.704049986088648,1,True,True,True,1,1,1
graph_02_context_low_run_28,False,False,False,13.377600000239909,0.0,13.377600000239909,0,False,False,False,0,0,0
graph_01_context_high_run_29,True,True,False,25.805900047998875,10.32236001919955,12.902950023999438,1,True,True,True,1,1,1
graph_02_context_low_run_29,False,False,False,15.32120001502335,0.0,15.32120001502335,0,False,False,False,0,0,0
